101,"2,879","2,790","1,771",163,5,750,23,78,89,209
102,"4,288","4,197","3,710",33,4,424,3,23,91,162
103,"4,092","3,971","2,433",23,5,1437,2,71,121,140
104,"4,859","4,762","3,159",30,6,1526,1,40,97,166
105,"2,217","2,168","1,728",43,4,380,3,10,49,71
106,"4,279","4,197",1434,42,8,2663,2,48,82,131
107,"5,634","5,525",804,54,6,4598,2,61,109,136
108,"5,130","5,008",2093,42,9,2818,7,39,122,132
109,"4,506","4,384",3273,70,9,954,9,69,122,195
110,"5,029","4,903",1976,73,8,2780,7,59,126,141
111,"5,559","5,372","2,825",128,24,2247,7,141,187,327
112,"3,700","3,619","2,168",39,3,1374,3,32,81,102
113,"3,264","3,202",452,33,3,2682,4,28,62,69
114,"3,175","3,142",61,36,3,3019,0,23,33,45
115,759,742,165,25,6,527,9,10,17,26
117,"1,747","1,685",603,75,16,932,6,53,62,144
118,"1,528","1,503",138,4,0,1359,0,2,25,10
119,"5,243","5,045",3407,135,25,1335,18,125,198,415
120,3972,3743,2253,141,30,1082,16,221,229,475
121,3462,3304,2084,116,20,984,9,91,158,257
122,"7,035","6,529",3298,486,63,2085,24,573,506,1303
123,"6,205","5,866",2879,668,73,1925,15,306,339,812
124,8188,7667,3992,700,93,2229,34,619,521,1677
125,"7,727","7,233",2730,"1,177",117,2799,49,361,494,1004
126,"4,915","4,823",4303,28,8,437,10,37,92,167
127,3497,3421,3052,7,5,332,0,25,76,123
128,"4,209","4,114",3659,17,6,386,6,40,95,154
129,"5,706","5,564",4799,47,12,623,2,81,142,279
130,"4,130","4,034",3550,18,3,410,3,50,96,157
131,"6,467","6,319",5443,102,4,690,10,70,148,275
132,"4,436","4,369",3868,49,8,411,1,32,67,135
133,4145,4041,3619,47,6,329,11,29,104,109
134,"3,665","3,594",3114,103,8,330,9,30,71,140
135,"2,666","2,584","2,188",53,9,305,5,24,82,110
151,"2,420","2,341","1,703",59,3,540,2,34,79,129
152,"3,857","3,732","2,624",188,12,848,5,55,125,162
153,"2,114","2,044","1,441",262,8,266,9,58,70,113
154,"5,762","5,554","3,891",288,16,1243,9,107,208,312
155,"3,591","3,454","1,691",639,6,1057,4,57,137,196
156,"2,821","2,703","1,637",90,3,917,6,50,118,164
157,"6,875","6,608","4,064",518,25,1651,51,299,267,567
158,"6,871","6,524","3,222",2093,27,980,25,177,347,448
159,"4,165","3,953","1,828",709,27,1243,4,142,212,318
160,"2,026","1,919","1,308",91,5,443,9,63,107,159
161,"5,257","4,986","1,436",2655,15,730,13,137,271,323
162,"2,502","2,389","1,628",250,19,337,14,141,113,381
163,"4,521","4,275","2,425",1340,15,312,16,167,246,418
164,"3,791","3,624","2,527",665,27,293,16,96,167,335
165,"5,121","4,826","3,491",635,22,552,10,116,295,352
166,"5,045","4,841","4,001",357,36,318,10,119,204,314
167,"4,701","4,501","3,518",531,28,311,6,107,200,392
168,"6,101","5,756","4,092",938,56,444,10,216,345,576
169,"2,995","2,882","2,414",135,18,206,4,105,113,249
170,"3,775","3,680","3,280",77,9,235,9,70,95,234
171,"7,263","6,979","5,829",487,35,483,16,129,284,405
176.01,"5,756","5,495",2044,918,80,"2,098",35,320,261,663
176.02,534,523,321,87,2,82,0,31,11,56
177,"1,777","1,659",944,50,7,325,11,322,118,719
178,"5,829","5,556",2343,506,44,"2,321",17,325,273,582
179.01,"5,408","5,191","3,640",448,20,885,12,186,217,353
179.02,"1,453","1,387",949,177,8,166,9,78,66,148
180,"2,285","2,169","1,046",670,27,247,9,170,116,421
201,"6,340","5,918","2,744",404,109,"1,040",21,"1,600",422,"3,290"
202,"6,188","5,822","3,708",438,55,718,16,887,366,"1,811"
203,"3,145","2,989",2365,113,15,288,6,202,156,510
204,"6,742","6,518",5488,184,36,654,9,147,224,497
205,"2,551","2,458","2,162",63,20,152,5,56,93,176
206,"4,836","4,636","3,996",124,26,325,11,154,200,439
207,"5,427","5,175","4,056",147,53,476,13,430,252,1189
208,"7,371","6,804","3,524",185,132,"1,079",25,1859,567,4193
209,"5,092","4,759","2,595",89,56,576,9,1434,333,2944
210,"4,559","4,305","3,083",140,49,394,29,610,254,"1,276"
211,"3,833","3,675","3,233",55,5,273,4,105,158,334
212,"2,882","2,755","2,458",37,9,178,3,70,127,212
213,"2,402","2,285",1972,32,16,184,7,74,117,188
214,"3,285","3,145",2663,51,21,268,6,136,140,386
215,"5,195","4,973",3852,95,30,475,2,519,222,"1,182"
216,"3,880","3,707","2,627",268,6,650,15,141,173,341
217,"4,139","3,931",2500,504,22,753,8,144,208,467
218,"3,914","3,653",3011,94,19,299,13,217,261,674
226,846,823,608,98,6,82,3,26,23,60
227.01,"2,751","2,643","2,278",101,3,171,1,89,108,247
227.02,"1,805","1,730","1,449",45,7,148,4,77,75,229
227.03,"5,140","4,878",2561,"1,479",56,429,144,209,262,649
228.01,"4,676","4,402","2,125",113,55,386,9,1714,274,2839
228.02,"1,762","1,635",775,117,27,262,12,442,127,689
228.03,"5,178","4,826",2397,98,40,442,15,"1,834",352,"3,391"
229.01,"4,965","4,590",2592,108,61,287,24,"1,518",375,"3,564"
